genome	dnaG	gyrB	rpoB	u_dnaG	u_gyrB	u_rpoB	n_dnaG	n_gyrB	n_rpoB	rho	ab	filter.min.ab	domain	phylum	class	order	family	genus	species	mgyg	num.anno	redundant	nice_name	nr	nice.species
GUT_GENOME096485	GUT_GENOME096228_03274	GUT_GENOME096670_03326	GUT_GENOME096485_02698	0.985023138126447	1.86150606468686	5.89723067562124	63	94	196	0.736752768874001	2.91458662614485	TRUE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M	Clostridium_M bolteae	MGYG-HGUT-01493	3873	FALSE	Clostridium_M bolteae	TRUE	C. bolteae
GUT_GENOME070485	GUT_GENOME070485_01158	GUT_GENOME096670_03326	GUT_GENOME096485_02698	0.582353152440421	1.86150606468686	5.89723067562124	38	94	196	0.714758133157541	2.78036329758284	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M		MGYG-HGUT-01045	3859	TRUE	Clostridium_M sp.	FALSE	Clostridium sp.
GUT_GENOME000594	GUT_GENOME143127_01452	GUT_GENOME000594_01324	GUT_GENOME103705_01550	0.0578047753908945	0.203476501409015	1.49224007923345	3	8	90	0.645752305090253	0.584507118677786	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp001304935	MGYG-HGUT-00123	3832	TRUE	Blautia sp.	FALSE	Blautia sp.
GUT_GENOME147525	GUT_GENOME147525_00224	GUT_GENOME000565_01984	GUT_GENOME211264_00022	0.0168258682026042	3.79221938906183	30.9252026060603	1	147	380	0.581016911777444	11.5780826211082	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii_A	MGYG-HGUT-02535	3752	TRUE	Citrobacter werkmanii_A	FALSE	C. werkmanii A
GUT_GENOME000047	GUT_GENOME143740_03642	GUT_GENOME212260_04105	GUT_GENOME211264_00022	0.290192170884464	6.38304822111556	30.9252026060603	12	197	380	0.607951997910599	12.5328143326868	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter mori	MGYG-HGUT-00015	3739	TRUE	Enterobacter mori	FALSE	E. mori
GUT_GENOME096246	GUT_GENOME096246_01636	GUT_GENOME096246_01258	GUT_GENOME211264_00022	0.108059879024222	4.49910776992485	30.9252026060603	9	158	380	0.593537023254152	11.8441234183365	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yokenella	Yokenella regensburgei	MGYG-HGUT-01394	3717	TRUE	Yokenella regensburgei	FALSE	Y. regensburgei
GUT_GENOME145378	GUT_GENOME140808_02704	GUT_GENOME145378_01544	GUT_GENOME211264_00022	5.30655657519451	14.0944465582748	30.9252026060603	184	276	380	0.817150291560784	16.7754019131765	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii	MGYG-HGUT-02507	3623	FALSE	Escherichia albertii	TRUE	E. albertii
GUT_GENOME212260	GUT_GENOME212260_03802	GUT_GENOME212260_04105	GUT_GENOME211264_00022	0.245002998078906	6.38304822111556	30.9252026060603	17	197	380	0.606736745111727	12.5177512750849	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata_C	MGYG-HGUT-03187	3621	TRUE	Leclercia adecarboxylata_C	FALSE	L. adecarboxylata C
GUT_GENOME103705	GUT_GENOME143127_01452	GUT_GENOME103705_03929	GUT_GENOME103705_01550	0.0578047753908945	0.150296386637323	1.49224007923345	3	9	90	0.634613516910829	0.566780413753889	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia producta	MGYG-HGUT-01689	3611	TRUE	Blautia producta	FALSE	B. producta
GUT_GENOME000565	GUT_GENOME000565_03930	GUT_GENOME000565_01984	GUT_GENOME211264_00022	0.0124885053832173	3.79221938906183	30.9252026060603	0	147	380	0.572199394445307	11.5766368335018	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera		MGYG-HGUT-00110	3599	TRUE	Kluyvera sp.	FALSE	Kluyvera sp.
GUT_GENOME140076	GUT_GENOME143232_05094	GUT_GENOME159262_00139	GUT_GENOME096294_05268	16.0370487003096	1.76079391469279	18.3801600009479	831	94	853	0.575536554385045	12.0593342053168	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercorirosoris	MGYG-HGUT-02273	3592	TRUE	Bacteroides stercorirosoris	FALSE	B. stercorirosoris
GUT_GENOME096294	GUT_GENOME001120_01514	GUT_GENOME159262_00139	GUT_GENOME096294_05268	52.839289589085	1.76079391469279	18.3801600009479	1641	94	853	0.615146772757465	24.3267478349086	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides oleiciplenus	MGYG-HGUT-01422	3566	TRUE	Bacteroides oleiciplenus	FALSE	B. oleiciplenus
GUT_GENOME143633	GUT_GENOME142612_02162	GUT_GENOME145984_03012	GUT_GENOME145982_01946	0.0401015041949305	0.18883891176979	0.558481843213684	1	4	9	0.644038383671343	0.262474086392802	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus penneri	MGYG-HGUT-02488	3438	TRUE	Proteus penneri	FALSE	P. penneri
GUT_GENOME096543	GUT_GENOME096543_00882	GUT_GENOME143747_00183	GUT_GENOME211264_00022	0.262475935101636	6.61923559379558	30.9252026060603	20	201	380	0.605313134400256	12.6023047116525	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter_A	Enterobacter_A timonensis	MGYG-HGUT-01536	3262	TRUE	Enterobacter_A timonensis	FALSE	E. timonensis
GUT_GENOME096473	GUT_GENOME096473_00688	GUT_GENOME096473_01953	GUT_GENOME239789_03115	0.010804509025397	0.0140055594454313	2.36132319497854	0	0	129	0.555083454710231	0.795377754483123	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	MGYG-HGUT-01489	3207	TRUE	Parabacteroides goldsteinii	FALSE	P. goldsteinii
GUT_GENOME192985	GUT_GENOME095986_03542	GUT_GENOME192985_02140	GUT_GENOME141054_03045	0.0262590049193007	0.00359197823257349	0.408825462560589	0	0	17	0.616960565221652	0.146225481904154	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M		MGYG-HGUT-02995	3174	TRUE	Clostridium_M sp.	FALSE	Clostridium sp.
GUT_GENOME001255	GUT_GENOME001255_01882	GUT_GENOME143484_01880	GUT_GENOME096294_05268	2.12880829140278	1.60032208391776	18.3801600009479	101	74	853	0.696245201651821	7.36976345875615	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis_A	MGYG-HGUT-00211	3162	FALSE	Bacteroides intestinalis_A	TRUE	B. intestinalis A
GUT_GENOME140045	GUT_GENOME140045_00310	GUT_GENOME140045_03967	GUT_GENOME096124_04489	0.0332340792928756	0.12224365462723	0.221434763828204	0	2	10	0.67202306878708	0.125637499249437	FALSE	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Absiella		MGYG-HGUT-02268	3092	TRUE	Absiella sp.	FALSE	Absiella sp.
GUT_GENOME000035	GUT_GENOME096203_03154	GUT_GENOME096080_03980	GUT_GENOME000035_02244	8.83596594244426	16.8290901518063	62.3037359631198	412	715	1492	0.89990824034629	29.3229306857901	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		MGYG-HGUT-00013	3084	FALSE	Bacteroides sp.	TRUE	Bacteroides sp.
GUT_GENOME143232	GUT_GENOME001255_01882	GUT_GENOME159262_00139	GUT_GENOME096294_05268	2.12880829140278	1.76079391469279	18.3801600009479	101	94	853	0.689150384556881	7.42325406901449	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	MGYG-HGUT-02455	3026	TRUE	Bacteroides cellulosilyticus	FALSE	B. cellulosilyticus
GUT_GENOME096178	GUT_GENOME096178_01516	GUT_GENOME096178_03837	GUT_GENOME098572_00230	0.0448133474727944	0.0456983055403816	0.501649315103049	2	2	22	0.692045887795288	0.197386989372075	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q symbiosum	MGYG-HGUT-01367	2988	TRUE	Clostridium_Q symbiosum	FALSE	C. symbiosum
GUT_GENOME000046	GUT_GENOME000046_01441	GUT_GENOME000046_04033	GUT_GENOME000046_04068	0.0104139271934311	0.0199479351007037	0.256440374203701	0	0	11	0.665138624691742	0.0956007454992786	FALSE	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum	MGYG-HGUT-00014	2945	TRUE	Clostridium butyricum	FALSE	C. butyricum
GUT_GENOME142388	GUT_GENOME142330_01324	GUT_GENOME142330_03690	GUT_GENOME142388_00099	0.00248663057951824	0.0149138416230694	0.15221012985671	0	0	8	0.639171352338331	0.0565368673530992	FALSE	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile_A	MGYG-HGUT-02370	2944	TRUE	Clostridioides difficile_A	FALSE	C. difficile A
GUT_GENOME001159	GUT_GENOME001159_00006	GUT_GENOME001159_00460	GUT_GENOME018957_01726	1.01463356267544	0.305312944648176	16.2479348300318	21	5	1022	0.532666561296336	5.85596044578514	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066145	MGYG-HGUT-00201	2920	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME140240	GUT_GENOME096083_01613	GUT_GENOME140240_03425	GUT_GENOME000035_02244	45.0874043983871	8.99112624750326	62.3037359631198	1382	448	1492	0.786787691033365	38.7940888696701	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis	MGYG-HGUT-02281	2920	TRUE	Bacteroides faecis	FALSE	B. faecis
GUT_GENOME145981	GUT_GENOME145981_03458	GUT_GENOME145981_01723	GUT_GENOME145980_03557	0.109715824145384	0.274566805314046	2.25734543817285	2	7	49	0.649819502832869	0.88054268921076	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Morganella	Morganella morganii_A	MGYG-HGUT-02513	2908	TRUE	Morganella morganii_A	FALSE	M. morganii A
GUT_GENOME001270	GUT_GENOME001471_01877	GUT_GENOME001270_03643	GUT_GENOME140411_02901	182.418225593861	2.05314111412611	34.1959762495867	1987	103	1235	0.600653685215773	72.8891143191913	TRUE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A		MGYG-HGUT-00213	2901	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME001120	GUT_GENOME001120_01514	GUT_GENOME140240_03425	GUT_GENOME000035_02244	52.839289589085	8.99112624750326	62.3037359631198	1641	448	1492	0.793117079000375	41.3780505999027	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	MGYG-HGUT-00196	2885	TRUE	Bacteroides thetaiotaomicron	FALSE	B. thetaiotaomicron
GUT_GENOME145982	GUT_GENOME145982_01686	GUT_GENOME145984_03012	GUT_GENOME145982_01946	0.00889848628443271	0.18883891176979	0.558481843213684	1	4	9	0.649280826601348	0.252073080422636	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	MGYG-HGUT-02514	2811	TRUE	Proteus mirabilis	FALSE	P. mirabilis
GUT_GENOME105301	GUT_GENOME105301_01563	GUT_GENOME097684_01938	GUT_GENOME239789_03115	0.0111038587216889	0.018640791605767	2.36132319497854	0	1	129	0.535359982590237	0.797022615101999	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides		MGYG-HGUT-01735	2803	TRUE	Parabacteroides sp.	FALSE	Parabacteroides sp.
GUT_GENOME140320	GUT_GENOME001295_02388	GUT_GENOME140320_01191	GUT_GENOME001261_03303	12.1177930895069	0.81780345685144	14.0041988270991	771	41	920	0.544545352415441	8.97993179115248	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp000436615	MGYG-HGUT-02298	2762	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME001418	GUT_GENOME001418_02165	GUT_GENOME001418_04501	GUT_GENOME001418_01799	0.805679431831282	1.95644752724102	16.0918879972308	38	76	558	0.626031924690334	6.28467165210103	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis_A	MGYG-HGUT-00236	2724	TRUE	Bacteroides fragilis_A	FALSE	B. fragilis A
GUT_GENOME001831	GUT_GENOME001831_02640	GUT_GENOME022845_00988	GUT_GENOME001831_00899	0.00493841614777964	0.0164171549865713	0.137042473950938	0	0	0	0.621940555095211	0.052799348361763	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A		MGYG-HGUT-00278	2710	TRUE	Hungatella_A sp.	FALSE	Hungatella sp.
GUT_GENOME001745	GUT_GENOME001745_03722	GUT_GENOME001745_01984	GUT_GENOME001745_02874	0.00869779601034404	0.0259416562684122	12.0239609935965	0	0	567	0.521337016041017	4.01953348195842	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides nordii	MGYG-HGUT-00265	2695	TRUE	Bacteroides nordii	FALSE	B. nordii
GUT_GENOME143190	GUT_GENOME143190_02385	GUT_GENOME263189_01216	GUT_GENOME000655_00673	0.0257894556475111	0.369954454672524	8.81180280558191	1	5	485	0.512920764206068	3.06918223863398	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides		MGYG-HGUT-02449	2680	TRUE	Parabacteroides sp.	FALSE	Parabacteroides sp.
GUT_GENOME096366	GUT_GENOME096366_03926	GUT_GENOME096366_01586	GUT_GENOME096366_02264	0.0425320046283448	0.203276845742064	8.96677613954206	0	2	481	0.609222839474898	3.07086166330416	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae	MGYG-HGUT-01433	2659	TRUE	Bacteroides salyersiae	FALSE	B. salyersiae
GUT_GENOME001147	GUT_GENOME001147_01417	GUT_GENOME096067_03155	GUT_GENOME140411_02901	0.822805989343506	14.3239327729028	34.1959762495867	33	788	1235	0.714039957314274	16.447571670611	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A		MGYG-HGUT-00200	2658	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME000634	GUT_GENOME000448_00026	GUT_GENOME000634_02762	GUT_GENOME000634_03447	0.13891165406803	0.00308907808804898	0.269106255756277	6	0	10	0.568169565735907	0.137035662637452	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160		MGYG-HGUT-00137	2624	TRUE	UBA7160 sp. (Lachnospiraceae family)	FALSE	UBA7160 sp.
GUT_GENOME140278	GUT_GENOME140278_01025	GUT_GENOME140278_00599	GUT_GENOME140278_01341	0.00443714345532681	0.0096838620668737	0.407551498941251	0	0	35	0.643777115401492	0.140557501487817	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas sp002161525	MGYG-HGUT-02290	2605	TRUE	Sellimonas sp.	FALSE	Sellimonas sp.
GUT_GENOME001295	GUT_GENOME001295_02388	GUT_GENOME000676_00398	GUT_GENOME001709_00905	12.1177930895069	5.65342341573843	26.3993745057286	771	382	1190	0.74738743725079	14.7235303369913	TRUE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A		MGYG-HGUT-00216	2594	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME000513	GUT_GENOME000513_03738	GUT_GENOME000513_01336	GUT_GENOME000513_02009	12.5844888533936	0.245295654061917	25.3881919715207	656	18	1029	0.509032017629443	12.7393254929921	FALSE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides bouchesdurhonensis	MGYG-HGUT-00098	2590	TRUE	Bacteroides bouchesdurhonensis	FALSE	B. bouchesdurhonensis
GUT_GENOME000004	GUT_GENOME000004_01976	GUT_GENOME000004_01958	GUT_GENOME018957_01726	0.473239604558034	0.685154317149892	16.2479348300318	7	15	1022	0.742479727325523	5.80210958391324	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066165	MGYG-HGUT-00002	2587	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME096262	GUT_GENOME096262_01005	GUT_GENOME096262_02030	GUT_GENOME096262_02650	0.00468669580004239	0.0186661332971057	0.0377374679131661	0	0	0	0.649294502966499	0.0203634323367714	FALSE	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	Coprobacillus cateniformis	MGYG-HGUT-01402	2559	TRUE	Coprobacillus cateniformis	FALSE	C. cateniformis
GUT_GENOME095973	GUT_GENOME095973_02499	GUT_GENOME095973_01440	GUT_GENOME095973_01942	0.0660216877155743	0.109681701390208	0.444120263220109	0	1	29	0.684685332901959	0.20660788410863	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea scindens	MGYG-HGUT-01303	2557	TRUE	Dorea scindens	FALSE	D. scindens
GUT_GENOME000205	GUT_GENOME000205_00197	GUT_GENOME000205_02448	GUT_GENOME000205_01741	0.00378702551276621	0.0046383326109165	0.83818141331934	0	0	60	0.590849955443476	0.282202257147674	FALSE	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066505	MGYG-HGUT-00050	2556	TRUE	Blautia_A sp.	FALSE	Blautia sp.
GUT_GENOME232082	GUT_GENOME000724_02290	GUT_GENOME232082_03538	GUT_GENOME207228_01120	0.412846518514307	0.364679559751664	1.58599250476893	8	7	25	0.630418674421136	0.7878395276783	FALSE	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium		MGYG-HGUT-03396	2552	TRUE	Clostridium sp.	FALSE	Clostridium sp.
GUT_GENOME147854	GUT_GENOME001120_01514	GUT_GENOME147854_03375	GUT_GENOME000035_02244	52.839289589085	9.4637743435896	62.3037359631198	1641	502	1492	0.779379951791753	41.5355999652648	TRUE	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	MGYG-HGUT-02549	2545	TRUE	Bacteroides caccae	FALSE	B. caccae
GUT_GENOME001422	GUT_GENOME005683_00621	GUT_GENOME005683_02917	GUT_GENOME001422_00056	0.0122712920247718	0.0181901578839744	0.429516596676955	0	0	12	0.640761430928152	0.153326015528567	FALSE	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D casseliflavus	MGYG-HGUT-00238	2504	TRUE	Enterococcus_D casseliflavus	FALSE	E. casseliflavus
